epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,51703.7,0.82805,0.614,1.01786,0.93817,0.95988,0.9781,0.72296,0.85255,0.58011,1.00526,0.000306344,0.000306344,0.000306344
105,52180.9,0.82767,0.61136,1.0087,0.95449,0.96268,0.98274,0.72229,0.86257,0.57808,1.01635,0.00030325,0.00030325,0.00030325
106,52717,0.82182,0.60767,1.01053,0.95477,0.95824,0.97966,0.7276,0.85646,0.57102,1.00485,0.000300156,0.000300156,0.000300156
107,53197.5,0.81622,0.60077,1.00368,0.95214,0.97528,0.98381,0.72891,0.84122,0.563,1.00107,0.000297063,0.000297063,0.000297063
108,53693.9,0.83321,0.61491,1.01391,0.96794,0.96791,0.98384,0.71897,0.86046,0.56543,1.01259,0.000293969,0.000293969,0.000293969
109,54182.5,0.83617,0.61358,1.01438,0.96798,0.96507,0.98262,0.72137,0.87059,0.57296,1.02145,0.000290875,0.000290875,0.000290875
110,54672.3,0.81804,0.60301,1.01807,0.96705,0.97184,0.98457,0.72937,0.86411,0.57166,1.01875,0.000287781,0.000287781,0.000287781
111,55162.8,0.82968,0.61695,1.01546,0.95928,0.96867,0.98056,0.72039,0.86519,0.57368,1.02113,0.000284688,0.000284688,0.000284688
112,55663.4,0.81072,0.60377,1.00475,0.96031,0.96872,0.98236,0.71447,0.8534,0.57069,1.01249,0.000281594,0.000281594,0.000281594
113,56158.5,0.82971,0.61106,1.01678,0.97139,0.96765,0.98391,0.71716,0.85021,0.56972,1.01122,0.0002785,0.0002785,0.0002785
114,56660.2,0.81729,0.60055,1.00284,0.97118,0.96305,0.98388,0.72226,0.85998,0.56371,1.00868,0.000275406,0.000275406,0.000275406
115,57173.8,0.82602,0.60612,1.01142,0.96297,0.95298,0.9836,0.72209,0.85793,0.56997,1.01686,0.000272313,0.000272313,0.000272313
116,57665,0.825,0.59692,1.00158,0.96803,0.96375,0.98329,0.72113,0.84918,0.56025,1.00124,0.000269219,0.000269219,0.000269219
117,58164.4,0.83006,0.60422,1.00799,0.95155,0.9712,0.97397,0.71748,0.84571,0.5662,1.00077,0.000266125,0.000266125,0.000266125
118,58659.2,0.8161,0.59112,1.0088,0.97032,0.96718,0.98193,0.7237,0.86566,0.56585,1.01045,0.000263031,0.000263031,0.000263031
